-160 = 224
Frame Count: 134, Latitude: 38.013254, Longitude: 23.753151, Altitude: 384.864014
Frame Count: 135, Latitude: 38.013254, Longitude: 23.753151, Altitude: 384.864014
Frame Count: 136, Latitude: 38.013254, Longitude: 23.753151, Altitude: 384.864014
Frame Count: 137, Latitude: 38.013261, Longitude: 23.753154, Altitude: 384.864014
Frame Count: 138, Latitude: 38.013261, Longitude: 23.753154, Altitude: 384.864014
Frame Count: 139, Latitude: 38.013268, Longitude: 23.753157, Altitude: 384.908997
Frame Count: 140, Latitude: 38.013268, Longitude: 23.753157, Altitude: 384.908997
Frame Count: 141, Latitude: 38.013268, Longitude: 23.753157, Altitude: 384.908997
Frame Count: 142, Latitude: 38.013275, Longitude: 23.753161, Altitude: 384.908997
Frame Count: 143, Latitude: 38.013275, Longitude: 23.753161, Altitude: 384.908997
Frame Count: 144, Latitude: 38.013281, Longitude: 23.753164, Altitude: 384.955994
Frame Count: 145, Latitude: 38.013281, Longitude: 23.753164, Altitude: 384.955994
Frame Count: 146, Latitude: 38.013281, Longitude: 23.753164, Altitude: 384.955994
Frame Count: 147, Latitude: 38.013288, Longitude: 23.753167, Altitude: 384.955994
Frame Count: 148, Latitude: 38.013288, Longitude: 23.753167, Altitude: 384.955994
Frame Count: 149, Latitude: 38.013295, Longitude: 23.75317, Altitude: 385.006012
Frame Count: 150, Latitude: 38.013295, Longitude: 23.75317, Altitude: 385.006012
Frame Count: 151, Latitude: 38.013301, Longitude: 23.753174, Altitude: 385.006012
Frame Count: 152, Latitude: 38.013301, Longitude: 23.753174, Altitude: 385.006012
Frame Count: 153, Latitude: 38.013301, Longitude: 23.753174, Altitude: 385.006012
Frame Count: 154, Latitude: 38.013308, Longitude: 23.753177, Altitude: 385.063995
Frame Count: 155, Latitude: 38.013308, Longitude: 23.753177, Altitude: 385.063995
Frame Count: 156, Latitude: 38.013308, Longitude: 23.753177, Altitude: 385.063995
Frame Count: 157, Latitude: 38.013315, Longitude: 23.75318, Altitude: 385.063995
Frame Count: 158, Latitude: 38.013315, Longitude: 23.75318, Altitude: 385.063995
Frame Count: 159, Latitude: 38.013321, Longitude: 23.753184, Altitude: 385.122009
Frame Count: 160, Latitude: 38.013321, Longitude: 23.753184, Altitude: 385.122009
Frame Count: 161, Latitude: 38.013321, Longitude: 23.753184, Altitude: 385.122009
Frame Count: 162, Latitude: 38.013328, Longitude: 23.753187, Altitude: 385.122009
Frame Count: 163, Latitude: 38.013328, Longitude: 23.753187, Altitude: 385.122009
Frame Count: 164, Latitude: 38.013335, Longitude: 23.75319, Altitude: 385.171997
Frame Count: 165, Latitude: 38.013335, Longitude: 23.75319, Altitude: 385.171997
Frame Count: 166, Latitude: 38.013335, Longitude: 23.75319, Altitude: 385.171997
Frame Count: 167, Latitude: 38.013342, Longitude: 23.753194, Altitude: 385.171997
Frame Count: 168, Latitude: 38.013342, Longitude: 23.753194, Altitude: 385.171997
Frame Count: 169, Latitude: 38.013349, Longitude: 23.753197, Altitude: 385.22699
